Rating,#,Player,Team,Opp,Spot,Pitcher,Odds,Model%,Mkt%,Edge,EV%,Bet $,Conf,Brl%,SwSp%,EV mph,FB%,GB%,Pull%,Score
🌟 ONCE IN A LIFETIME,1,Edouard Julien,COL,SD,?,⬜ Walker Buehler,+2800,14.3%,3.2%,+11.1%,+313.8%,$3,48,6.5%,51.3%,90.8,17.9%,53.8%,43.6%,132.4
🌟 ONCE IN A LIFETIME,2,Xander Bogaerts,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+1800,21.0%,4.9%,+16.1%,+298.6%,$4,68,5.7%,35.2%,89.8,22.5%,47.9%,46.5%,129.3
🌟 ONCE IN A LIFETIME,3,Kyle Karros,COL,SD,?⚡,⬜ Walker Buehler ⚡,+2200,14.7%,4.0%,+10.6%,+237.2%,$3,50,5.3%,47.8%,91.8,13.0%,39.1%,30.4%,101.7
🌟 ONCE IN A LIFETIME,4,Ramón Laureano,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+950,28.9%,8.9%,+20.1%,+203.7%,$5,68,10.6%,35.1%,90.2,36.8%,40.4%,33.3%,92.7
🌟 ONCE IN A LIFETIME,5,Mickey Moniak,COL,SD,?⚡,⬜ Walker Buehler ⚡,+800,33.0%,10.3%,+22.7%,+197.4%,$5,57,10.2%,28.6%,89.2,40.5%,28.6%,50.0%,90.4
🌟 ONCE IN A LIFETIME,6,Jackson Merrill,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+950,24.8%,8.9%,+15.9%,+160.3%,$4,68,9.7%,31.3%,88.6,26.9%,41.8%,35.8%,73.9
🌟 ONCE IN A LIFETIME,7,Jordan Beck,COL,SD,?,⬜ Walker Buehler,+2200,10.9%,4.0%,+6.9%,+150.9%,$2,37,2.0%,27.0%,86.5,29.7%,45.9%,35.1%,65.1
🌟 ONCE IN A LIFETIME,8,TJ Rumfield,COL,SD,?⚡,⬜ Walker Buehler ⚡,+1300,17.0%,6.6%,+10.3%,+137.3%,$3,53,5.7%,40.0%,87.4,26.2%,38.5%,50.8%,61.9
🌟 ONCE IN A LIFETIME,9,Carlos Cortes,ATH,SEA,?,🟡 Logan Gilbert,+950,19.1%,8.9%,+10.3%,+100.8%,$3,44,12.5%,42.5%,91.1,--,--,--,46.6
🌟 ONCE IN A LIFETIME,10,Brenton Doyle,COL,SD,?⚡,⬜ Walker Buehler ⚡,+1800,10.5%,4.9%,+5.6%,+100.1%,$1,41,2.8%,26.2%,89.3,26.2%,47.6%,42.9%,44.6
🌟 ONCE IN A LIFETIME,11,Freddy Fermin,SD,COL,?,🟡 Tomoyuki Sugano,+1800,10.1%,4.9%,+5.2%,+91.5%,$1,35,0.0%,20.0%,88.3,--,--,--,40.6
🌟 ONCE IN A LIFETIME,12,Ildemaro Vargas,AZ,CWS,?⚡,⬜ Anthony Kay ⚡,+1000,17.0%,8.5%,+8.6%,+87.1%,$2,42,5.0%,42.9%,86.2,12.2%,44.9%,40.8%,40.5
🌟 ONCE IN A LIFETIME,13,Hunter Goodman,COL,SD,?,⬜ Walker Buehler,+750,21.4%,10.9%,+10.4%,+81.7%,$3,54,5.7%,37.8%,93.5,40.0%,22.2%,60.0%,39.7
🌟 ONCE IN A LIFETIME,14,Jacob Wilson,ATH,SEA,?⚡,🟡 Logan Gilbert ⚡,+1700,10.3%,5.2%,+5.1%,+85.4%,$1,48,2.1%,30.1%,85.0,20.5%,49.4%,33.7%,39.0
🌟 ONCE IN A LIFETIME,15,Miguel Andujar,SD,COL,?,🟡 Tomoyuki Sugano,+1900,9.3%,4.7%,+4.6%,+85.4%,$1,38,0.0%,30.8%,89.6,15.4%,51.3%,51.3%,38.2
🌟 ONCE IN A LIFETIME,16,Manny Machado,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+1100,14.9%,7.8%,+7.2%,+78.9%,$2,54,3.4%,29.6%,86.6,18.5%,42.6%,46.3%,37.5
🌟 ONCE IN A LIFETIME,17,Troy Johnston,COL,SD,?⚡,⬜ Walker Buehler ⚡,+1200,13.2%,7.2%,+6.1%,+71.9%,$1,44,2.7%,44.2%,90.0,25.0%,40.4%,30.8%,33.6
🌟 ONCE IN A LIFETIME,18,Everson Pereira,CWS,AZ,?,⬜ Eduardo Rodriguez,+700,21.1%,11.6%,+9.4%,+68.6%,$2,34,9.8%,48.0%,90.3,--,--,--,32.9
🌟 ONCE IN A LIFETIME,19,Oswald Peraza,LAA,TOR,?⚡,⬜ Eric Lauer ⚡,+700,20.2%,11.6%,+8.6%,+61.8%,$2,48,7.1%,42.6%,88.3,14.9%,42.6%,38.3%,30.7
🌟 ONCE IN A LIFETIME,20,Andrés Giménez,TOR,LAA,?⚡,🟢 José Soriano ⚡,+900,15.8%,9.3%,+6.5%,+58.2%,$2,46,3.6%,26.5%,86.8,26.5%,48.5%,32.4%,28.4
🌟 ONCE IN A LIFETIME,21,Gavin Sheets,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+700,19.4%,11.6%,+7.8%,+55.5%,$2,48,7.1%,38.0%,89.0,18.0%,42.0%,34.0%,28.0
🌟 ONCE IN A LIFETIME,22,Kazuma Okamoto,TOR,LAA,?⚡,🟢 José Soriano ⚡,+850,15.9%,9.8%,+6.1%,+50.7%,$1,48,5.6%,34.0%,90.2,18.0%,44.0%,46.0%,25.4
🌟 ONCE IN A LIFETIME,23,Ezequiel Tovar,COL,SD,?⚡,⬜ Walker Buehler ⚡,+1200,10.7%,7.2%,+3.5%,+38.7%,$1,42,6.7%,49.2%,89.4,28.8%,33.9%,39.0%,19.3
🌟 ONCE IN A LIFETIME,24,Jake Cronenworth,SD,COL,?⚡,🟡 Tomoyuki Sugano ⚡,+1000,12.0%,8.5%,+3.5%,+32.1%,$1,44,3.8%,28.0%,89.4,20.0%,56.0%,28.0%,16.8
🌟 ONCE IN A LIFETIME,25,Sam Antonacci,CWS,AZ,?,⬜ Eduardo Rodriguez,+1150,10.1%,7.4%,+2.6%,+25.9%,$1,18,5.0%,33.3%,85.4,--,--,--,12.4
🌟 ONCE IN A LIFETIME,26,Colson Montgomery,CWS,AZ,?⚡,⬜ Eduardo Rodriguez ⚡,+430,22.5%,17.5%,+4.9%,+19.1%,$1,44,6.8%,36.2%,87.9,31.9%,36.2%,51.1%,12.1
✅ BREAD AND BUTTER,27,Mike Trout,LAA,TOR,?,⬜ Eric Lauer,+450,20.2%,16.9%,+3.3%,+10.9%,$1,53,14.2%,35.6%,93.0,44.1%,30.5%,42.4%,8.8
✅ BREAD AND BUTTER,28,Shea Langeliers,ATH,SEA,?,🟡 Logan Gilbert,+510,18.4%,15.2%,+3.1%,+12.1%,$1,43,8.2%,38.7%,92.2,37.1%,30.6%,32.3%,8.6
